Sample,AC_RED,AC_IR,AC_GREEN,Pressure
12,0.451042,0.057601,-0.324654,86.368069
13,0.43558,0.050035,-0.337813,86.306934
14,0.430317,0.052996,-0.340445,86.209593
15,0.449068,0.070431,-0.305903,86.236896
16,0.454331,0.059575,-0.316759,86.211967
17,0.439199,0.048061,-0.324325,86.290315
18,0.411895,0.022073,-0.346037,86.425642
19,0.402684,0.010559,-0.351958,86.482622
0,0.392815,0.003651,-0.347682,86.325334
1,0.420777,0.037205,-0.335839,86.474906
2,0.412882,0.040495,-0.337155,86.385281
3,0.405974,0.041811,-0.33255,86.376972
4,0.377025,0.021415,-0.363801,86.506958
5,0.360248,0.017468,-0.360182,86.650002
6,0.353339,0.013849,-0.370051,86.295656
7,0.370445,0.04543,-0.339129,86.45532
8,0.38163,0.057601,-0.321036,86.709356
9,0.376696,0.045101,-0.324325,86.435139
10,0.339194,0.01352,-0.358209,86.568686
11,0.317811,-0.001283,-0.364459,86.401307
12,0.311561,-0.00227,-0.360511,86.531293
13,0.339523,0.019441,-0.343076,86.638724
14,0.341826,0.014836,-0.342089,86.521203
15,0.338865,0.007928,-0.340445,86.516454
16,0.319785,-0.013126,-0.367091,86.309308
17,0.300376,-0.026942,-0.377618,86.686208
18,0.296429,-0.036482,-0.380249,86.458881
19,0.323404,-0.022666,-0.374328,86.657718
0,0.323075,-0.009178,-0.365117,86.604299
1,0.317153,-0.003915,-0.370051,86.665434
2,0.282612,-0.017731,-0.399329,86.688582
3,0.272414,-0.018718,-0.407224,86.75862
4,0.274059,-0.022995,-0.420054,86.719446
5,0.268467,-0.026942,-0.411501,86.715885
6,0.293139,0.00398,-0.383539,86.595396
7,0.289192,0.005296,-0.382223,86.749717
8,0.278665,-0.001941,-0.378933,86.75031
9,0.243795,-0.042404,-0.417093,86.610234
10,0.228991,-0.045364,-0.423343,86.743781
11,0.222741,-0.051286,-0.428607,86.829845
12,0.251032,-0.042075,-0.398671,86.96636
13,0.250703,-0.044048,-0.400645,86.816194
14,0.245439,-0.054904,-0.404593,86.7972
15,0.217806,-0.092077,-0.428936,86.971108
16,0.216162,-0.095696,-0.440121,86.777613
17,0.20399,-0.105894,-0.438147,86.909973
18,0.227675,-0.084182,-0.422686,86.864864
19,0.228333,-0.079906,-0.412159,86.868425
0,0.226688,-0.081221,-0.416764,86.792452
1,0.192476,-0.093393,-0.445384,86.693924
2,0.183594,-0.105565,-0.446371,86.989508
3,0.173396,-0.10063,-0.452621,86.905225
4,0.196753,-0.077274,-0.428607,86.931935
5,0.204648,-0.072668,-0.400316,87.060733
6,0.206622,-0.076945,-0.41183,87.124836
7,0.163527,-0.104578,-0.432883,86.978231
8,0.149053,-0.11971,-0.447687,87.145016
9,0.138855,-0.123987,-0.448016,86.987728
10,0.15004,-0.10392,-0.435186,87.194281
11,0.16287,-0.101617,-0.425646,86.921251
12,0.168791,-0.094709,-0.429594,87.239983
13,0.155961,-0.125302,-0.452292,87.092191
14,0.123065,-0.137145,-0.467754,87.130178
15,0.116486,-0.148988,-0.474662,87.114152
16,0.117144,-0.148659,-0.477622,87.093972
17,0.132276,-0.108525,-0.452292,87.138487
18,0.128328,-0.097999,-0.454595,87.124836
19,0.126684,-0.095367,-0.464135,87.085662
0,0.079971,-0.124974,-0.495386,86.92778
1,0.069444,-0.126618,-0.502624,87.073198
2,0.064509,-0.116749,-0.509532,87.034024
3,0.085563,-0.092735,-0.476307,87.113559
4,0.08655,-0.086485,-0.472688,87.079727
5,0.064509,-0.093064,-0.477622,87.063701
6,0.021744,-0.129908,-0.50394,86.89098
7,-0.003586,-0.134513,-0.522032,87.069636
8,-0.016745,-0.144382,-0.525651,86.975857
9,0.011546,-0.124316,-0.504926,87.071417
10,0.00398,-0.125631,-0.494729,87.095159
11,-0.004902,-0.129908,-0.508545,87.082101
12,-0.025627,-0.168397,-0.529599,87.044708
13,-0.044706,-0.174976,-0.547034,87.01325
14,-0.040759,-0.18945,-0.541441,87.069043
15,-0.0276,-0.16741,-0.529928,87.142642
16,-0.022666,-0.161817,-0.521046,86.971108
17,-0.020692,-0.156225,-0.531243,87.23939
18,-0.048983,-0.172673,-0.559534,87.091598
19,-0.068721,-0.180897,-0.571048,87.019779
0,-0.06576,-0.180897,-0.573351,86.969328
1,-0.052931,-0.158199,-0.552626,87.09872
2,-0.041417,-0.133527,-0.532888,87.069636
3,-0.031548,-0.144053,-0.531243,87.096346
4,-0.051944,-0.151291,-0.574009,86.908786
5,-0.090432,-0.184845,-0.571377,87.308834
6,-0.093722,-0.187806,-0.577298,86.999598
7,-0.094051,-0.191753,-0.582562,87.136707
8,-0.060826,-0.16741,-0.563153,86.977637
9,-0.055233,-0.164449,-0.557232,87.052424
10,-0.047996,-0.174318,-0.569732,87.037585
11,-0.075629,-0.196688,-0.596707,86.865458
12,-0.076616,-0.203925,-0.598023,87.019185
13,-0.073984,-0.207543,-0.59901,86.937276
14,-0.052931,-0.184845,-0.58947,87.074385
15,-0.045364,-0.169384,-0.578285,87.035211
16,-0.045035,-0.163462,-0.590128,87.203777
17,-0.068392,-0.182871,-0.622366,87.017998
18,-0.071681,-0.181555,-0.625985,86.959831
19,-0.06247,-0.179252,-0.636183,86.922438
0,-0.035495,-0.149317,-0.604931,87.388963
1,-0.022337,-0.14208,-0.596049,86.915315
2,-0.016745,-0.14208,-0.596049,86.943212
3,-0.042733,-0.170042,-0.629933,87.093378
4,-0.053259,-0.176621,-0.632564,87.075572
5,-0.052931,-0.180568,-0.636183,87.086849
6,-0.029245,-0.155896,-0.621379,87.195468
7,-0.010165,-0.160502,-0.614142,86.990102
8,0.001348,-0.157541,-0.615129,87.03165
9,-0.019047,-0.189779,-0.633551,87.144423
10,-0.028258,-0.200635,-0.649012,86.964579
11,-0.02464,-0.203267,-0.647368,87.084475
12,0.003651,-0.180568,-0.630262,87.124242
13,0.009573,-0.171686,-0.630919,86.923031
14,0.014178,-0.163133,-0.627959,87.026901
15,0.012533,-0.16116,-0.629275,86.955083
16,-0.012797,-0.178266,-0.661184,86.977637
17,-0.016416,-0.174976,-0.657894,87.119494
18,-0.019705,-0.17037,-0.662829,87.079727
19,0.024376,-0.134842,-0.625656,86.901664
0,0.020428,-0.133856,-0.621379,86.981792
1,0.018455,-0.137474,-0.621708,86.925999
2,-0.022337,-0.168068,-0.654934,86.908786
3,-0.029245,-0.171686,-0.651973,86.832813
4,-0.031548,-0.165436,-0.658552,86.85418
5,0.009244,-0.140764,-0.631248,86.8524
6,0.008257,-0.139448,-0.62434,86.888012
7,0.015165,-0.147672,-0.624998,86.879109
8,-0.005231,-0.169055,-0.649012,86.874361
9,-0.010494,-0.176621,-0.65625,86.826877
10,-0.008849,-0.179252,-0.65625,86.814413
11,0.014507,-0.154251,-0.632235,86.91947
12,0.019112,-0.135829,-0.621379,86.989508
13,0.017139,-0.118065,-0.629604,86.756839
14,-0.002928,-0.140764,-0.645065,86.704608
15,-0.015429,-0.146685,-0.647039,86.760401
16,-0.012139,-0.141751,-0.648354,86.682646
17,0.008257,-0.113789,-0.628288,86.682646
18,0.029968,-0.099314,-0.611182,86.796607
19,0.021415,-0.086485,-0.603944,86.639318
0,-0.000296,-0.119052,-0.626643,86.590647
1,-0.019376,-0.137474,-0.635525,86.633382
2,-0.025627,-0.134842,-0.628946,86.301592
3,-0.024311,-0.108196,-0.61184,86.558002
4,0.017797,-0.114776,-0.591773,86.585305
5,0.018784,-0.118394,-0.599997,86.631008
6,0.022731,-0.118394,-0.597694,86.48381
7,-0.007863,-0.152606,-0.623682,86.524171
8,-0.016087,-0.161817,-0.625985,86.59777
9,-0.014442,-0.157212,-0.620722,86.610828
10,0.011546,-0.119381,-0.593089,86.559783
11,0.017139,-0.109841,-0.588812,86.403681
